direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Paseo de La Noria 3353,  Colinas de San Javier, Zapopan",2.22,1.99,3.52
"Paseo Abie 440,  Nuevo Mexico, Zapopan",0.29,2.98,6.73
"Tenochtitlan 375,  Jardines Del Sol, Zapopan",0.97,0.72,9.51
"CIRCUITO DE LAS FLORES 3395,  Fraccionamiento Bugambilias, Zapopan",2.05,1.51,15.96
"Boulevard Primavera 1480,  Fraccionamiento Arrayanes, Zapopan",2.09,0.65,14.86
"san juan de la cruz 273,  Fraccionamiento Camino Real, Zapopan",2.81,1.63,6.99
"Jose Maria Robles 3838,  Chapalita Oriente, Zapopan",0.41,1.51,7.25
"Avenida de la Cantera 765,  Fraccionamiento Valle Imperial, Zapopan",1.79,1.44,7.25
"Cto. Monarquia Espanola 143,  San Isidro, Zapopan",1.22,1.98,2.49
"Paseo San Arturo Oriente 63,  Valle Real, Zapopan",2.48,0.13,5.33
"Avenida Doctor Angel Leano 1305,  Fraccionamiento La Cima, Zapopan",2.24,2.88,4.29
"CUBILETE 22,  Chapalita Sur, Zapopan",1.06,2.34,8.23
"Rio orinoco 5 fraccionamiento Arauca 1 zapopan jalisco,  Fraccionamiento Arauca, Zapopan",2.42,1.99,7.17
"Av Vallarta Eje Poniente  Casa 58 Coto ,  Fraccionamiento Los Suenos, Zapopan",2.42,1.99,7.17
"Av. Las Lomas 301,  Fraccionamiento Las Lomas Club Golf, Zapopan",2.71,1.81,5.83
"San Jorge 215, Lagos del Country, Zapopan, Jal.,  Seattle, Zapopan",0.08,1.69,2.45
"Blvd. Valle Imperial coto Egipcio #405 Int. 188,  Fraccionamiento Valle Imperial, Zapopan",0.92,0.55,7.33
"leo  4137,  Lomas Altas, Zapopan",1.31,1.01,5.89
"Paseo de los Nisperos  1849,  Tabachines, Zapopan",0.71,1.83,2.87
"P.o del Amanecer #405 - 3, Solares, Zapopan,  Fraccionamiento Solares, Zapopan",2.42,1.99,7.17
"Casa EN Venta Parques Vallarta 3725 Zapopan Jalisco,  Zapopan, Jalisco",2.48,2.09,9.23
"Calle Camichines 2790, Rinconada Vallarta, Ciudad Granja, Zapopan,  Puertas Del Tule, Zapopan",2.29,1.08,8.09
"del mar ote #53,  Fraccionamiento Parques de Tesistan, Zapopan",1.62,2.02,11.08
"Av. Paseo del Anochecer No. 964, Coto Zanthe,  Fraccionamiento Solares, Zapopan",1.73,1.88,8.58
"Andromeda 5082,  La Calma, Zapopan",0.27,1.4,11.02
"Av. Paseo del Bosque #486,  Los Robles, Zapopan",0.4,2.15,17.18
"Coto Lugano no. 112,  La Venta del Astillero, Zapopan",1.96,0.29,15.83
"Coto acacia   28,  Bosques Vallarta, Zapopan",1.88,2.73,9.7
"Paseo solares 2132,  Fraccionamiento Solares, Zapopan",1.77,2.2,9.03
"Calle Cuauhtemoc 219,  Lomas Del Batan, Zapopan",1.49,0.42,4.03
"Valle de San Isidro 52,  Fraccionamiento Valle de San Isidro, Zapopan",1.37,1.88,2
"Villa Juarez Â· 1757,  Fraccionamiento Bugambilias, Zapopan",2.17,1.4,15.51
"Solares Coto #1 - 70, Solares, Zapopan,  Fraccionamiento Solares, Zapopan",0.02,0.79,6.8
"Laguna de Chapala #27,  Las Canadas, Zapopan",1.85,1.06,5.83
"Rosario Castellanos 6202,  Fraccionamiento Lomas Universidad, Zapopan",1.7,0.71,7.06
"PASEO VIRREYES 1250 24,  Fraccionamiento Cumbres, Zapopan",2.97,2.79,6.12
"CASIOPEA 3692,  La Calma, Zapopan",0.6,1.19,10.73
"callejon del iris 55 bugambilias,  Fraccionamiento Bugambilias, Zapopan",2.64,1.96,15.29
"Brisa 341,  Fraccionamiento Paseos Universidad, Zapopan",1.89,0.79,6.92
