direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Ganaderos 4996,  Arcos de Guadalupe, Zapopan",0.88,2.32,8.99
"Anastacio Bustamante 1234,  Francisco Sarabia, Zapopan",1.06,2.46,14.26
"Av. Madeiras 169,  Fraccionamiento Valle Imperial, Zapopan",2.54,2.17,6.29
"calle 6,  Seattle, Zapopan",0.32,1.86,1.9
"PASEO SOLARES 2175,  Fraccionamiento Solares, Zapopan",1.97,2.09,9.02
"FRACCIONAMIENTO BUGAMBILIAS 2da SECCION,  Ciudad Bugambilia, Zapopan",0.74,2.9,15.33
"JUAN PALOMAR Y ARIAS 1300,  Jardines Universidad, Zapopan",1.14,2.18,5.52
"paseo solares 300,  Fraccionamiento Solares, Zapopan",2.18,0.71,7.03
"Santa Ana 15,  Las Fuentes, Zapopan",0.55,1.02,12.46
"Av. Las Torres 3850 151,  Hogares de Nuevo Mexico, Zapopan",2.54,2.16,6.05
"Colibri 68  jardin real zapopan jalisco,  Fraccionamiento Jardin Real, Zapopan",2.59,0.64,5.22
"Prolongacion Av. Vallarta #2701,  Fraccionamiento Los Suenos, Zapopan",1.46,1.5,6.26
"San Juan de Los Lagos 2120,  Nuevo Mexico, Zapopan",2.68,1.38,5.39
"Paseo San Arturo 2365 50 Valle Real , 45019 Zapopan, Jalisco, Mexico,  Valle Real, Zapopan",2.99,0.66,5.86
"Jardines rio frio 257,  Nuevo Mexico, Zapopan",2.3,1.96,7.2
"Petirojo 1484,  Mision de San Isidro, Zapopan",1.88,2.77,3.55
"Avenida Naciones Unidas 7500 27,  Los Castanos, Zapopan",1.56,0.31,6.84
"Av. Camino de los Parques # - 72, Colinas de San Isidro, Zapopan,  San Isidro, Zapopan",2.86,1.18,4.17
"Formosa 630 78,  Fraccionamiento Valle Imperial, Zapopan",2.42,1.99,7.17
"Yahualica 28,  Lomas Del Refugio, Zapopan",2.51,0.89,5.52
"De las Magnolias 72,,  Fraccionamiento Bugambilias, Zapopan",2,1.34,15.82
"Matamoros 568,  Santa Fe, Zapopan",0.96,1.86,1.88
"Paseo de los Fresnos # 7,  Fraccionamiento Pinar de La Venta, Zapopan",0.64,1.53,14.81
"Villa Hermosa 4 Valle De La Providencia 45200 La Cuchilla, Jal. Mexico,  Vistas De Tesistan, Zapopan",0.84,2.34,9.71
"Soare II coto 1,  Fraccionamiento Solares, Zapopan",1.66,1.97,8.67
"VOLCAN POPOCATEPETL #4623 - 11,  El Colli Urbano, Zapopan",0.85,0.85,10.41
"santa catalina de siena 471,  Fraccionamiento Camino Real, Zapopan",2.54,2.3,7.42
"Paseo de la Parota 122,  Fraccionamiento Pinar de La Venta, Zapopan",0.3,2.16,14.54
"Amaranto No 174,  La Magdalena, Zapopan",0.13,0.2,11.87
"AV NOVELISTAS 5130,  Fraccionamiento Jardines Vallarta, Zapopan",2.09,2.51,6.6
"Paseo san arturo 58,  Valle Real, Zapopan",0.42,1.48,6.07
"Paseo del Prado 1358,  Lomas del Valle, Zapopan",1.31,2.34,4.88
"Gibraltar 354,  Fraccionamiento Hacienda Copala, Zapopan",1.04,0.14,16.01
"Paseo de las Hortencias 2877,  Ciudad Bugambilia, Zapopan",1.79,1.22,16.09
"Cam. Arenero 1052,  El Bajio, Zapopan",1.75,2.29,8.77
"Paseo Altanza 2132 323,  Santillana, Zapopan",1.27,2.36,8.96
"cto. landa 1169,  Fraccionamiento Solares, Zapopan",1.71,2.26,9.08
"Waterpolo 822,  Auditorio, Zapopan",1.3,1.1,4.45
"Talavera Poniente 3474,  El Bosque, Zapopan",1.09,1.96,2.8
"ALBURQUERQUE 789,  Lomas de Zapopan, Zapopan",0.35,0.8,2.19
"Paseo solares #2175 - 115, Solares, Zapopan,  Fraccionamiento Solares, Zapopan",1.97,2.09,9.02
"Avenida D 580,  Nuevo Mexico, Zapopan",0.33,0.25,6.57
"20Â°38'21.8""N 103Â°24'46.7""W,  La Calma, Zapopan",0.75,1.57,10.95
"Coto Galarza 236,  Fraccionamiento Valle Imperial, Zapopan",0.93,0.56,7.33
"FRIDA KAHLO 41,  Chapalita Inn, Zapopan",1.63,2.82,10.16
"CALLE DEL BOSQUE 1545,  Bosques Vallarta, Zapopan",2.5,2.14,9.29
"campo castillo 1517, campo real, zapopan, jalisco, c.p. 45134,  Fraccionamiento Campo Real, Zapopan",2.21,2.09,8.89
"Paseo Solares 2237,  Fraccionamiento Solares, Zapopan",1.77,2.2,9.03
"Volcan Tancitaro 2236,  El Colli Urbano, Zapopan",0.66,1.62,10.86
"avenida de la cantera 406,  Fraccionamiento Valle Imperial, Zapopan",1.37,1.01,7.3
"P.o de la Estrella 3555, Parques Vallarta,  Valle Real, Zapopan",2.48,2.09,9.23
"General Ramon Corona 1100,  Valle Real, Zapopan",2.24,1.3,7.65
"Coto Egipcio 247,  Fraccionamiento Valle Imperial, Zapopan",0.76,2.82,8.43
"Coto 2 santillana C11,  Fraccionamiento Solares, Zapopan",1.1,0.7,7.91
"nispero 1332,  Paraisos Del Colli, Zapopan",2.97,1.76,11.53
"Priv. Escorial 95, fraccionamiento valle imperial, zapopan jalisco,  Fraccionamiento Valle Imperial, Zapopan",1.68,1.32,7.16
"AVENIDA PASEO NATURA 40,  Natura Bosque Residencial, Zapopan",1.21,0.85,15.7
"av juan gil preciado no. 6507,  Nuevo Mexico, Zapopan",0.45,0.66,8.29
"Valle Escondido 29,  Nuevo Mexico, Zapopan",1.44,1.29,8.29
"Fray Miguel Pieras 1319 185,  Fraccionamiento Parques de Tesistan, Zapopan",1.62,2.04,10.22
"Guadalupe Victoria 3014  , Jardines de Santa Ana , 45230 Zapopan, Jalisco, Mexico,  Fraccionamiento Jardines de Santa Ana, Zapopan",1.17,1.88,14.49
"Ley Iglesias 100,  Auditorio, Zapopan",1.04,1.1,4.2
"av del  reno poniente 100,  Ciudad Bugambilia, Zapopan",1.46,1.38,16.04
"JOSE MARIA HIDALGO 592,  Villa de los Belenes, Zapopan",0.87,2.25,0.77
"PTOLOMEO 2916,  Arboledas , Zapopan",0.08,1.52,11.18
"C. Eca Do Queiros 991, Jardines Universidad, Zapopan, Jal.,  Virreyes Residencial, Zapopan",2.54,2.87,6.21
"Los tintores 46,  Chapalita Inn, Zapopan",1.52,2.64,10
"Avenida General Ramon Corona 2515,  San Juan de Ocotan, Zapopan",2.94,1.25,7.03
"avenida patria 2520,  Lagos Del Country , Zapopan",0.37,1.58,2.74
"FRANZ SHUBERT 5043,  La Estancia, Zapopan",1.51,2.14,8.05
"C. Andromeda 3637, La Calma, 45080 Zapopan, Jal.,  La Calma, Zapopan",0.67,1.24,10.73
"Av. Juan Palomar y Arias 1180, Jardines Universidad, 45136 Zapopan, Jal.,  Jardines Universidad, Zapopan",1.22,2.1,5.45
"Mexico Independiente 765,  Conjunto Zapopan, Zapopan",0.43,1.62,1.95
"Doctores 774,  Fraccionamiento Jardines de Guadalupe, Zapopan",1.92,1.61,8.35
"Alta vista 450,  Altavista Residencial, Zapopan",2.63,1.84,4.65
"Ing. Jorge Villasenor 375,  Constitucion, Zapopan",0.42,2.91,1.43
"Circuito del Bosque 217, Bosques Vallarta, Zapopan, Jalisco,  Bosques Vallarta, Zapopan",2.93,1.77,8.98
"paseo del norte 3430,  Bosques Vallarta, Zapopan",2.68,0.25,10.94
"Bugambilias 2da Seccion. Circuito Lince,  Fraccionamiento Bugambilias, Zapopan",0.74,2.9,15.33
"INDEPENDENCIA  141,  Fraccionamiento Rinconada Del Parque, Zapopan",0.37,0.89,8.21
"COTO ENCINOS INT 16 J,  Los Robles, Zapopan",0.68,1.79,16.65
"PEDRO ALARCON  45,  Juan Manuel Vallarta, Zapopan",2.54,1.87,6.47
"ciudad bugambilias 2aseccion,  Ciudad Bugambilia, Zapopan",2.17,1.4,15.51
"Retorno del Reno Sur 1634,  Fraccionamiento Bugambilias, Zapopan",1.72,2.92,15.47
"Paseo San Guillermo 2171 1,  Valle Real, Zapopan",2.96,1.37,5.89
"Avenida Paseo de los Emperadores 1560,  Fraccionamiento Valle Imperial, Zapopan",2.35,2.12,8.25
"Calle Volcan Paricutin 5809,  El Colli Urbano, Zapopan",0.83,1.33,10.77
"Unidad Nacional 3096 lote 13,  Conjunto Zapopan, Zapopan",0.45,1.6,1.93
"Palma Real 1,  San Juan de Ocotan, Zapopan",1.98,0.33,7.04
"Boulevard Valle Imperial 257 .,  Periquera, Zapopan",0.93,0.56,7.33
"Valle de san marcos 100,  Jardines del Valle, Zapopan",2.99,0.76,5.6
"Federico Chopin 4944,  Lomas Del Seminario, Zapopan",1.77,2.13,7.88
"Parota 8 colonia Rancho el Centinela,  El Centinela, Zapopan",2.7,1.06,3.99
"Punchan 4808,  Mirador Del Sol, Zapopan",2.72,0.61,9.12
"bv. valle imperial 1329,  Fraccionamiento Valle Imperial, Zapopan",2.16,1.81,7.15
"Copilco 5921,  Pinar de La Calma, Zapopan",1.57,1.49,12.94
"Calle O 131,  Fraccionamiento Villa Verona, Zapopan",2.05,0.8,6.73
"Ramon Corona 2996,  La Calma, Zapopan",0.13,1.68,11.35
"Aurora 254,  Chapalita Oriente, Zapopan",0.41,2.28,7.68
"Av. Paseo de la Estrella 1177,  Fraccionamiento Solares, Zapopan",2.62,1.28,8.35
"Paseo de los Jazmines 3030,  Fraccionamiento Bugambilias, Zapopan",1.81,1.07,15.88
"Av General Ramon Corona 2748 fraccionamiento los olivos Zapopan Jalisco,  Fraccionamiento El Olivo Coto Residencial, Zapopan",2.42,1.99,7.17
"Prol Guardia Nacional 2274,  Santa Ana Tepetitlan, Zapopan",1.36,1.7,14.23
"Avenida Valdepenas 50,  Fraccionamiento Real de Valdepenas, Zapopan",1.33,2.19,3.34
"av federalistas 1760,  Fraccionamiento La Cima, Zapopan",1.35,1.93,3.37
"AV PASEO NORTE #3350,  Natura Bosque Residencial, Zapopan",1.48,0.45,15.34
"Lazaro Cardenas 4763,  Fraccionamiento Prados Vallarta, Zapopan",2.5,1.84,6.66
"Calle San Mateo 286,  Fraccionamiento Jardines de San Gonzalo, Zapopan",1.77,1.4,6.5
"Av. del Bosques Real 1507,  Fraccionamiento Valle Imperial, Zapopan",2.15,1.8,7.15
"Juan Palomar y arias 300,  Royal Country, Zapopan",1.41,1.52,4.17
"Calle Pinguino 3495,  La Giralda, Zapopan",1.5,1.93,10.07
"AV STA MARGARITA #4050,  Novaterra, Zapopan",1.99,0.46,4.79
"Gabriel Garcia Marquez 440,  Juan Manuel Vallarta, Zapopan",1.94,0.14,6.64
"Rto. del Reno Sur 118, Ciudad Bugambilias, Zapopan, Jal.,  Fraccionamiento Bugambilias, Zapopan",1.77,0.88,15.74
"Coto 6,  Fraccionamiento Jardin Real, Zapopan",2.52,1.06,4.98
"Argenta 67,  Rio Blanco, Zapopan",1.13,2.92,2.57
"Avenida Valle De Ameca  2079  , Jardines Del Valle , 45138 Zapopan, Jalisco, Mexico,  Jardines del Valle, Zapopan",2.37,0.61,4.63
"Paseo de los Avellanos 1179 Fcto Tabachines.,  Tabachines, Zapopan",0.7,2.03,2.53
"Pino 68,  Natura Bosque Residencial, Zapopan",1.21,0.85,15.7
"Bv. Valle Imperial #323,  Fraccionamiento Valle Imperial, Zapopan",1.11,0.74,7.3
"Av paseo del norte 3322,  Bosques Vallarta, Zapopan",2.57,1.94,9.09
"Anastasio Bustamante 1138 - Casa 37,  Francisco Sarabia, Zapopan",1,2.44,14.27
"Paseo Solares 934,  Fraccionamiento Solares, Zapopan",2.82,0.86,7.72
"PASEO DE LA CANADA  3516,  Lomas del Valle, Zapopan",1.76,2.8,5.05
"Av D 580,  12 de Diciembre, Zapopan",0.33,0.25,6.57
"Subcolectora 2, , Valle de San Nicolas, Zapopan, Jalisco,  Villas Mariano Otero, Zapopan",1.51,1.01,13.56
"marina Vallarta 180,  Santa Margarita Residencial, Zapopan",0.81,2.66,3.24
"Rinconada del Camichin 1393,  Fraccionamiento Real de Valdepenas, Zapopan",1.1,1.99,2.92
"Camino Viejo a Tesistan 1852 40, Parques Zapopan, Zapopan, Jalisco,  Parques de Zapopan, Zapopan",1.76,2.23,3.76
"AMAPOLA #43 LOS ANGELES DE NEXTIPAC. TESITAN ZAPOPAN JAL.,  Fraccionamiento Los Angeles de Nextipac, Zapopan",2.51,0.15,12.79
"Rto. del Reno Sur 118, Ciudad Bugambilias, Zapopan, Jal.,  Ciudad Bugambilia, Zapopan",1.77,0.88,15.74
"Paseo de la Estrella 3595 Fracc. Parques Vallarta,  Bosques Vallarta, Zapopan",2.04,2.32,9.33
"H. Colegio Militar 4352,  Foret, Zapopan",2.14,3,14.65
"Del Caporal 714,  El Vigia, Zapopan",0.85,2.82,0.7
"Paseo de las Ceibas # 168,  Fraccionamiento Pinar de La Venta, Zapopan",0.78,2.67,13.86
"Av. del Bosque Real 1995,  Fraccionamiento Valle Imperial, Zapopan",2.62,2.38,8.32
"av. altavista poniente 3333,  Altavista Residencial, Zapopan",2.51,1.7,4.52
"Maurice Baring 313,  Jardines de La Patria, Zapopan",2.55,2.18,6.17
"allende 1769,  Agua Blanca Sur, Zapopan",2.44,1.55,15.22
"Callejon de los Claveles 139,  Fraccionamiento Bugambilias, Zapopan",2.04,1.19,15.56
"Remanso de los Laureles 2056,  Fraccionamiento Bugambilias, Zapopan",2.66,1.77,14.91
"AV. PASEO DE LOS EMPERADORE  400,  Fraccionamiento Valle Imperial, Zapopan",2.42,1.99,7.17
"Cocoteros 18,  Nuevo Mexico, Zapopan",2.58,0.45,4.5
"Bosques de Las Lomas 1171,  Jardines Universidad, Zapopan",1.38,2.03,5.37
"Jardin de las Bugambilias 70,  Fraccionamiento Jardin Real, Zapopan",2.42,0.93,4.94
"P Altanza 2170,  Fraccionamiento Solares, Zapopan",1.52,2.31,9.04
"Prado de los pirules 1166,  Prados Tepeyac, Zapopan",2.9,0.96,8.73
"CAMINO DE LOS PARQUES 3229 COLINAS DE SAN ISIDRO,  Fraccionamiento Bosques Del Centinela , Zapopan",2.95,1.24,4.22
"Moctezuma 729  , El Vigia , 45140 Zapopan, Jalisco, Mexico,  El Vigia, Zapopan",0.67,2.97,0.46
"Blvd. Valle del Silicio #150, Nueva Galicia,  Nueva Galicia, Zapopan",0.81,1.23,17.7
"Av. Monarquia Britanica 122,  Fraccionamiento Real Del Bosque, Zapopan",1.15,1.96,2.61
"pedro ramirez 47,  Lomas Del Batan, Zapopan",1.4,0.38,4.3
"Al Arroyo 120,  Fraccionamiento Prados Vallarta, Zapopan",2.53,1.81,6.84
"Av. Santa Margarita 4950,  Valle Real, Zapopan",2.93,0.51,5.72
"Paseo de Los Robles 4270,  San Wenceslao, Zapopan",1.31,1.2,4.37
"Oscar Wilde 5666,  Fraccionamiento Jardines Vallarta, Zapopan",1.65,0.21,6.93
"FRACCIONAMIENTO BUGAMBILIAS 2DA. SECC.,  Ciudad Bugambilia, Zapopan",2.17,1.4,15.51
"Gimnasia 761,  Rinconada Auditorio, Zapopan",1.35,0.98,4.48
"Avenida de la Calma 200,  La Calma, Zapopan",0.77,1.57,10.94
"Camino a Santana Tepetitlan no. 1606,  Santa Ana Tepetitlan, Zapopan",1.15,2.9,13.99
"callejon del iris 2720,  Fraccionamiento Bugambilias, Zapopan",2.63,1.94,15.28
"Av Federalistas 1170,  Fraccionamiento Real de Valdepenas, Zapopan",1.02,1.74,3.08
"Casa en condominio en Avenida F 5250,  Hogares de Nuevo Mexico, Zapopan",2.63,1.69,5.6
"Lago Ginebra 2743,  Residencial Patria, Zapopan",0.33,1.49,2.31
"Talavera Poniente 3437,  Fraccionamiento Real de Valdepenas, Zapopan",1.06,1.94,2.78
"Av.primavera 1076,  Foret, Zapopan",1.96,0.21,14.83
"Eva briseno 332,  Santa Fe, Zapopan",0.88,2.12,1.65
"Teotihuacan 2887,  Pinar de La Calma, Zapopan",1.56,1.44,12.89
"Volcan Jorullo 6061,  12 de Diciembre, Zapopan",2.84,1.47,10.58
"IGNACIO JAUREGUI 1250,  Paseos del Sol, Zapopan",0.94,2.06,11.24
"Av Naciones Unidas 7275,  Loma Real, Zapopan",0.89,2.29,5.07
"circuito del bosque 68,  Bosques Vallarta, Zapopan",0.27,1.9,9.12
"AGUA AZUL 2515,  Agua Blanca Sur, Zapopan",2.52,1.73,15.43
"PROLONGACION RIO BLANCO 1900,  Mision de San Isidro, Zapopan",2.59,1.79,4.35
"Paseo Solares 2175,  Fraccionamiento Solares, Zapopan",1.97,2.09,9.02
"PASEO DEL PARAISO 9,  Bosques de la Primavera, Zapopan",2.18,2.62,14.69
"Extremadura 4,  Puerta de Hierro, Zapopan",1.59,0.81,3.96
"PASEO DE LA ESTRELLA 3595,  Bosques Vallarta, Zapopan",2.04,2.32,9.33
"Jardin Real 630,  Fraccionamiento Jardin Real, Zapopan",2.62,0.7,5.24
"CALLE RIO DANUBIO 508 RESIDENCIAL ALBATERRA,  Valle de los Molinos, Zapopan",0.2,0.55,15.34
"talavera pte 3363,  Fraccionamiento Real de Valdepenas, Zapopan",1.01,1.87,2.69
"Avenida Prolongacion Galeana y Rosas 1376 7,  Girasoles Acueducto, Zapopan",1.68,2.44,3.92
"RESIDENCIAL PARQUE VIRREYES #625,  Parque Virreyes Residencial, Zapopan",1.67,0.65,6.38
"Avenida General Ramon Corona 2748 H13,  Fraccionamiento Los Olivos Residencial, Zapopan",2.4,1.31,7.39
"Paseo de los Barcinos 72 pinar de la venta,  Fraccionamiento Pinar de La Venta, Zapopan",0.47,2.5,14.16
"Coto Maple 1,  Fraccionamiento Valle Imperial, Zapopan",2.88,2.58,7.66
"Tulipan 870,  Ciudad de los ninos, Zapopan",0.78,2,7.75
"Av. Universidad # - 9C, Puerta del Bosque, Zapopan,  Fraccionamiento Puerta del Bosque, Zapopan",1.62,1.12,4.46
"Tucan 1608,  Fraccionamiento Mirador de San Isidro, Zapopan",1.97,2.85,3.57
"Calle Mora Lopez 56,  Francisco Sarabia, Zapopan",0.73,2.61,14.07
"Avenida Amaranto 175 93,  Fraccionamiento Residencial Amaranto, Zapopan",2.55,0.25,11.2
"AV. de la Mancha 402,  Condominio Villa La Cima, Zapopan",0.36,0.99,1.86
"Paseo Solares 2280,  Fraccionamiento Solares, Zapopan",1.77,2.2,9.03
"Campo Real Poniente 115 4 , Campo Real , 45134 Zapopan, Jalisco, Mexico,  Fraccionamiento Campo Real, Zapopan",2,1.82,8.45
"MH6F+WQX Zapopan, Jalisco, Mexico,  Fraccionamiento Jardines de Guadalupe, Zapopan",1.73,1.6,8.54
"AVENIDA LA CAMPINA #5660,  La Venta del Astillero, Zapopan",1.89,0.15,16.44
"PASEO VALLE REAL 3000 INT. 65,  Valle Real, Zapopan",2.42,0.89,5.36
"San Florencio 2299,  Santa Isabel, Zapopan",1.32,0.56,3.18
"Av. Las Palmas 200,  Villa Coral, Zapopan",0.84,1.39,1.98
"circunvalacion norte 209,  Las Fuentes, Zapopan",0.21,2.74,12.42
"Pablo VI 13,  El Briceno, Zapopan",0.74,1.86,12.92
"Camino a Rio Blanco #101,  Rancho Nuevo de Tesistan, Zapopan",1.73,2.37,11.73
"Av. Monarquia Britanica 122,  Residencial Del Bosque, Zapopan",1.15,1.96,2.61
"san nicolas de bari 714,  Fraccionamiento Camino Real, Zapopan",2.6,1.93,7.77
"San Juan de la Cruz  No. 360,  Fraccionamiento Camino Real, Zapopan",2.75,1.75,7.14
"Sendero de las flores 4510,  Sendas Residencial, Zapopan",0.51,2.78,6.46
"Avenida de los emperadores 1995,  Fraccionamiento Valle Imperial, Zapopan",2.42,1.99,7.17
"Paseo de los Virreyes 706,  Virreyes Residencial, Zapopan",2.63,0.36,6.69
"av jesus 1235,  Santa Margarita, Zapopan",0.78,2.92,3.14
"Av de los leones 311,  Ciudad Bugambilia, Zapopan",1.45,2.87,15.51
"Montes Pirineos 91,  Fraccionamiento Real de Valdepenas, Zapopan",1.56,2.38,3.6
"Pradera Campestre 116,  Loma Chica, Zapopan",0.19,1.9,13.29
"Avenida Copalita 2514,  Fraccinamiento Mirador de San Isidro, Zapopan",1.29,0.92,7.04
"Casa EN Venta Fraccionamiento Madeiras 197-51 Zapoan Jalisco,  Zapopan, Jalisco",2.59,2.22,6.34
"Paseo de los Robles Nte # 295,  Los Robles, Zapopan",0.77,1.9,16.74
"Clavel  1552,  Prados Santa Lucia, Zapopan",0.22,0.58,13.68
"boulevard lomas del bosque 2500,  Atlas Colomos, Zapopan",0.56,0.89,2.45
"Casa en mediero #516 - 15,  San Gilberto, Zapopan",2.42,1.99,7.17
"Avenida General Ramon Corona #7880,  Fraccionamiento Mitica Residencial, Zapopan",1.57,1.91,8.38
"AV. GUADALUPE 6226,  Fraccionamiento Jardines de Chapalita, Zapopan",1.28,2.46,9.68
"TEXCOCO 000,  Jardines Del Sol, Zapopan",1.33,1.23,9.57
"GALEANA 1083, PARAISOS DEL COLLI, ZAPOPAN,  Paraisos Del Colli, Zapopan",2.71,1.68,11.28
"CASIOPEA 4274,  La Calma, Zapopan",1.14,1.09,10.31
"valle de los zenzontles 2685,  Jardines del Valle, Zapopan",2.62,0.42,5.51
"Azaleas 528,  Fraccionamiento Bugambilias, Zapopan",2.67,1.91,15.1
"av acueducto 4075,  Jardines del Valle, Zapopan",2.5,0.53,5.57
"Domenico Scarlatti 4832,  Prados de Guadalupe, Zapopan",2.28,2.08,7.11
"Av del Tule 480,  Puertas Del Tule, Zapopan",2.75,0.65,7.58
"URSULO GARCIA 5738,  Arcos de Guadalupe, Zapopan",0.57,2.59,8.78
"CAPITA NORTE 3336 43,  Fraccionamiento Valle Imperial, Zapopan",2.87,2.57,7.67
"Circuito bosques 49,  Bosques Vallarta, Zapopan",0.31,1.94,9.16
"AVE JESUS 3841,  Fraccionamiento Real del Carmen Grand, Zapopan",2.04,1.26,4.43
"Talavera poniente 3363,  Fraccionamiento Real Del Bosque, Zapopan",1.01,1.87,2.69
"Via campo real poniente 607,  Fraccionamiento Campo Real, Zapopan",2.4,2.25,8.82
"Fresno 155,  Conjunto Zapopan, Zapopan",1.88,1.98,4.33
"poniente  2701,  San Juan de Ocotan, Zapopan",2.2,1.41,7.34
"george handel 115,  Vallarta La Patria, Zapopan",1.96,2.37,7.08
"Jardines de Versalles # 86,  Fraccionamiento Valle Imperial, Zapopan",1.61,1.27,7.25
"Talavera poniente 3442,  Fraccionamiento Real de Valdepenas, Zapopan",1.07,1.94,2.78
"Soare 3, Altanza,  Fraccionamiento Solares, Zapopan",1.63,2.22,8.95
"Alta Vista 450 248, Altavista Residencial, Zapopan, Jalisco,  Altavista Residencial, Zapopan",2.63,1.84,4.65
"CALLE RINCONADA DEL CAMICHIN #1916, REAL DE VADEPENAS, ZAPOPAN, JALISCO, C.P. 45130.,  Fraccionamiento Real de Valdepenas, Zapopan",1.1,1.97,3.11
"Rinconada del Camichin 1916,  Fraccionamiento Real de Valdepenas, Zapopan",1.19,2.01,3.24
"PROLONGACION ONTARIO 1873,  Colomos Patria, Zapopan",2.19,0.71,2.8
"Alondra 1396,  El Fortin, Zapopan",2.47,2.52,14.34
"Av. Paseo de la cantera 702 28,  Nuevo Mexico, Zapopan",0.14,0.06,6.92
"Av. Patria 3200,  Rinconada de La Calma, Zapopan",0.56,1.1,10.7
"Adolfo Antunano 1248,  Paseos del Sol, Zapopan",1.16,2.14,11.43
"Calle San Mateo 286,  Nuevo Mexico, Zapopan",1.77,1.4,6.5
"Sendas Residencial 4510 57,  Chapalita Oriente, Zapopan",0.38,2.31,7.56
"Valle de las palmeras 2707,  Jardines del Valle, Zapopan",2.45,0.48,4.65
"paseo solares 2175,  Fraccionamiento Solares, Zapopan",1.97,2.09,9.02
"Av la cima 296,  Fraccionamiento La Cima, Zapopan",1.19,1.49,3.01
"P.o de Los Olivos 566,  Francisco Villa, Zapopan",0.49,1.37,2.39
"Unicornio 3617,  Arboledas , Zapopan",0.83,2.45,12.03
"Paseo de Monte Carlo # - 9 , Valle Real, Zapopan,  Valle Real, Zapopan",0,1.13,6.16
"Av. Juan Palomar y Arias 1171, Zapopan, Jal.,  Jardines Universidad, Zapopan",1.11,2.26,5.6
"CALLEJON DEL QUIJOTE 1385,  Villa Universitaria, Zapopan",0.98,1.81,4.7
"Paseo Lomas Altas 3800,  Lomas Altas, Zapopan",1.81,2.52,4.71
"Fray Francisco de Palou 535,  Fraccionamiento Parques de Tesistan, Zapopan",1.29,2.34,10.73
"Avenida Paseo La Toscana 888,  Valle Real, Zapopan",1.82,2.93,4.69
"Condor 1627,  Mision de San Isidro, Zapopan",1.95,2.83,3.58
"AV CENTRAL #1081,  Parque de La Castellana, Zapopan",2.46,0.92,6.35
"San mateo 3103,  Girasoles Acueducto, Zapopan",1.2,2.99,3.61
"Acantilado (Canteras Del Centinela) 3189,  Fraccionamiento Bosques Del Centinela , Zapopan",2.39,0.5,3.47
"Opalo 3148,  Fraccionamiento Residencial Victoria, Zapopan",1.59,1.96,9.79
"PASEO ADELITAS 434 - 187,  Francisco Villa, Zapopan",0.52,1.41,2.42
"Av Atardecer 1527,  Fraccionamiento Real de Valdepenas, Zapopan",2.07,1.31,3.77
"Paseo del Anochecer 964,  Fraccionamiento Solares, Zapopan",1.73,1.88,8.58
"boulevard valle imperial 21,  Fraccionamiento Valle Imperial, Zapopan",2.87,2.57,7.67
"Jardin 15 , Ejido Copalita, Zapopan, Jalisco,  Copalita, Zapopan",1.18,2.41,12.28
"Boulevard Bugambilias 100,  Fraccionamiento Bugambilias, Zapopan",2.14,1.37,15.53
"Cuauhtemoc  No. 865,  Ciudad de los ninos, Zapopan",0.87,1.93,7.8
"Felix Palavicini 376,  27 de Septiembre, Zapopan",0.93,1.57,2.79
"SAN MARCELO 2230,  Colomos Patria, Zapopan",1.49,0.69,3.28
"Ingenieros #894, Chapalita de Occidente,  Fraccionamiento Chapalita de Occidente, Zapopan",1.87,1.34,8.87
"Av Naciones Unidas 6905-12,  Lomas Altas, Zapopan",0.53,2.35,5.3
"PALMIRA 1236,  Fraccionamiento Valle Imperial, Zapopan",2.16,1.81,7.15
"Circuito Valle San Isidro 440 28,  Villas de Zapopan, Zapopan",1.46,2.16,2.5
"Av. del Ahuehuete 151 Casa 12 C,  Puertas Del Tule, Zapopan",2.98,0.77,7.59
"Av de la Libertad 687,  Tepeyac Casino, Zapopan",2.93,1.38,8.31
"calle bugambilia 118,  Fraccionamiento Bugambilias, Zapopan",1.9,0.18,14.91
"paseo de los virreyes 920,  Virreyes Residencial, Zapopan",2.79,0.59,6.45
"Corona Boreal 4298,  Arboledas , Zapopan",0.51,1.99,11.68
"Felix Mendelssohn numero 5306,  La Estancia, Zapopan",1.06,2.42,8.14
"Jaime Gonzalez Ramirez 4520,  Lomas de Guadalupe, Zapopan",2.34,2.11,7.64
"Av. Camino de Los Parques 3330,  San Isidro, Zapopan",2.98,1.22,4.2
"Dr. Carlos Villasenor 421,  Constitucion, Zapopan",0.6,2.85,1.37
"Calz Federalismo 1889,  Jardines del Porvenir, Zapopan",0.84,1.11,3.98
"Paseo de la estrella 3555,  Bosques Vallarta, Zapopan",2.06,2.32,9.34
"PASEOLA LUNA 370 INT. 56,  Valle Real, Zapopan",1.67,0.33,7.4
"Valle Imperial Coto Castano 10,  Fraccionamiento Valle Imperial, Zapopan",1.81,1.57,8.03
"Coto Acacia 99,  Bosques Vallarta, Zapopan",1.88,2.73,9.7
"Labna 1252,  Mirador Del Sol, Zapopan",2.77,0.64,9.06
"Arista 1650,  Hacienda Santa Lucia, Zapopan",0.4,1.45,2.02
"Av Paseo Solares 864,  Fraccionamiento Solares, Zapopan",2.74,0.95,7.65
"Av. Mariano Otero 1451, Mariano Otero, Zapopan, Jal.,  El Fortin, Zapopan",1.16,0.25,12.94
