direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Avenida Fray Angelico 4469,  Miravalle, Guadalajara",2.58,1.19,8.15
"Irene Robledo garcia 667, Santa Elena Estadio, Guadalajara, Jalisco,  Santa Elena Alcalde Poniente, Guadalajara",0.7,0.44,3.12
"Cesar 178,  Fraccionamiento Vallarta Norte, Guadalajara",1.37,1.01,4.18
"Calle Orquidea 278,  Fraccionamiento Rinconada Santa Rita, Guadalajara",2.18,0.2,5.23
"munguia 143,  Jardines de Atemajac, Guadalajara",1.07,2.43,3.61
"C. Asuncion 1645, Providencia, Guadalajara, Jal.,  Providencia, Guadalajara",1.94,0.27,3.42
"ANGULO 2882,  Fraccionamiento Terranova, Guadalajara",1.01,1.09,4.03
"Av Topacio 2439, Verde Valle, 44550 Guadalajara, Jal.,  Fraccionamiento Verde Valle, Guadalajara",1.99,2.8,5.95
"SAN HERIBERTO 2801,  Chapalita, Guadalajara",1.58,2.83,5.68
"Tierra de fuego 3230,  Providencia, Guadalajara",1.57,2.64,4.39
"Tula 529,  Monumental, Guadalajara",0.14,1.41,3.5
"Privada Enrique  Limon Diaz 27,  San Marcos, Guadalajara",2.73,0.54,18.92
"CALLE CUARZO 00 BOSQUES DE LA VICTORIA GUADALAJARA JALISCO,  Bosques de La Victoria, Guadalajara",1.35,1.5,6.18
"NAPOLEON INT. 59,  Vallarta Poniente, Guadalajara",1.07,1.16,3.95
"AVELLANEDA 1820,  Fraccionamiento Colomos Providencia, Guadalajara",2.18,0.59,3.73
"C. VERDIN 1721,  8 de Julio , Guadalajara",2.86,2.76,4.31
"Puerto Alegre 203,  Monumental, Guadalajara",2.53,1.8,2.91
"HACIENDA DE LA PUNTA 1897 circunvalacion oblatos, guadalajara jalisco,  Circunvalacion Oblatos, Guadalajara",1.54,0.48,5.25
"Cadiz 2763,  Fraccionamiento Autocinema, Guadalajara",1.22,0.58,3.45
"Aldama #827,  Real, Guadalajara",1.69,1.48,3
"Valparaiso 2625, Providencia 3a. Secc,  Providencia 4a Secc, Guadalajara",1.01,1.32,3.81
"Calle Faja de oro 1692,  Unidad habitacional 18 de Marzo, Guadalajara",1.62,1.54,6.35
"Priv. Violeta 817,  Quinta Velarde, Guadalajara",2.46,1.97,3.53
"MERCADERES 000,  Fraccionamiento Jardines Del Country, Guadalajara",1.19,1.52,2.75
"Calle La Noche 2718,  Jardines del Bosque, Guadalajara",1.79,2.19,4.26
"Calle Justo Sierra 1814,  Guadalajara Centro, Guadalajara",2.66,2.9,1.82
"Calle Juan Ruiz de Alarcon 112,  Lafayette, Guadalajara",1.57,2.51,3.05
"galeana 264,  Guadalajara Centro, Guadalajara",1.22,0.72,1.58
"San Pablo 695,  Chapalita, Guadalajara",0.24,1.68,5.81
"Jesus Galindo y Villa 3237,  Jardines de La Paz, Guadalajara",0.42,2.04,7.56
"Calle Ignacio Ramirez 464,  Barrio Santa Teresita, Guadalajara",2.48,2.47,1.38
"Bagdad 773,  Libertad, Guadalajara",0.3,1.56,6.04
"Calle 58 (Sebastian Allende )#,  Blanco y Cuellar, Guadalajara",0.42,1.57,4.32
"PRUDENCIA 171,  Unidad habitacional Infonavit Estadio, Guadalajara",2.06,0.1,4.53
"Paseo del Olivo 265-1846,  Fraccionamiento Valle Del Alamo, Guadalajara",2.08,1.95,5.07
"luna 2853, jardines del bosque,  Jardines del Bosque, Guadalajara",1.97,2.2,4.46
"Calle el Parian 2070,  Fraccionamiento Jardines Del Country, Guadalajara",1.25,1.83,2.8
"Calle Manuel Romero de Terreros 3201,  Fraccionamiento Jardines de los Historiadores, Guadalajara",0.39,2.14,7.39
"Panfilo Natera 4401,  Lomas Del Paraiso, Guadalajara",1.59,1.15,5.05
"Victoriano Salado Alvarez 87, Arcos Vallarta, Guadalajara, Jalisco,  Arcos Vallarta, Guadalajara",1.04,1.87,3.36
"Calle Los Alpes 1548,  Fraccionamiento Independencia Oriente, Guadalajara",2.09,2.69,2.49
"CORRIENTES 3097,  Providencia, Guadalajara",1.73,0.12,3.33
"PASEO DE LOS ARTISTAS 1180,  Colinas de La Normal, Guadalajara",1.75,2.33,1.58
"jose maria vigil 2807,  Providencia, Guadalajara",0.61,1.39,3.51
"Napoleon 463,  Monraz, Guadalajara",1.07,1.16,3.95
"Arcos del Sur 174,  Fraccionamiento Arcos, Guadalajara",0.92,0.53,1.33
"san felipe 1370 santa teresita,  Americana, Guadalajara",2.89,2.15,1.75
"Calle Hospital 586, Guadalajara centro,  Barrio El Santuario, Guadalajara",1.13,1.38,0.22
"San Uriel No. 3431,  Chapalita, Guadalajara",0.62,1.05,5.24
"Prudencia 171,  Estadio Poniente, Guadalajara",0.92,0.53,1.33
"Nicolas leano 56,  Arcos Vallarta, Guadalajara",1.82,1.45,4.22
"C. Rio Pilon 1140, Bosques del Boulevard, 44899 Guadalajara, Jal.,  Atlas, Guadalajara",1.16,0.41,5.52
"NAPOLEON INT. 63,  Vallarta Poniente, Guadalajara",1.07,1.16,3.95
