direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Calle Republica de Nicaragua 161,  Colonial Tlaquepaque, San Pedro Tlaquepaque",1.2,2.23,1.24
"Corregidora  5  , El Tapatio , 45588 San Pedro Tlaquepaque, Jalisco, Mexico,  El Tapatio, San Pedro Tlaquepaque",2.22,2.73,3.87
"AV. CEDROS 368,  Fraccionamiento Parques del Bosque, San Pedro Tlaquepaque",2.61,1.34,10.77
"Avenida Primavera 2772 5,  Fraccionamiento Parques del Bosque, San Pedro Tlaquepaque",2.35,1.33,11.28
"san carlos 1360,  Tlaquepaque, San Pedro Tlaquepaque",0.3,2.42,8.93
"Vista a La Ladera 1772,  Cerro Del Tesoro, San Pedro Tlaquepaque",1.97,2.1,9.68
"Prol. Manuel Lopez Cotilla 681 Pedregal del Bosque, San Pedro Tlaquepaque,  Pedregal Del Bosque, San Pedro Tlaquepaque",1.88,0.91,8.44
"Boulevard Bugambilias 2377 126,  Valle Paraiso, San Pedro Tlaquepaque",2.26,1.44,14.4
"Antares 1,  Indigena San Sebastianito, San Pedro Tlaquepaque",1.81,1.94,14.29
"Calle Anacleto Caminos 1,  Residencial La Soledad, San Pedro Tlaquepaque",1.28,1.3,2.72
"Fuente Tepic 676,  Fraccionamiento Villa Fontana, San Pedro Tlaquepaque",0.27,0.81,10.48
"Vista a la Lejania 5756,  Cerro Del Tesoro, San Pedro Tlaquepaque",2.18,1.77,10.06
"Av camino real a colima 357,  Fraccionamiento Parques Santa Cruz Del Valle, San Pedro Tlaquepaque",2.6,2.26,13.05
"Bahia Majahua 719, Parques del Bosque, San Pedro Tlaquepaque, Jal.,  Fraccionamiento Parques del Bosque, San Pedro Tlaquepaque",2.57,1.68,11.48
"Calle Gobernadores 189,  El Cerrito, San Pedro Tlaquepaque",0.1,2.27,3.58
"PROLONGACION GONZALEZ GALLO 1934  108,  Fraccionamiento Geovillas Los Olivos, San Pedro Tlaquepaque",1.14,2.89,10.15
"Real de las Palmas 797,  Fraccionamiento Camichines Alborada, San Pedro Tlaquepaque",1.88,2.09,2.43
"san rafael arcangel 4091,  Fraccionamiento Lomas de San Miguel, San Pedro Tlaquepaque",1.88,2.98,1.96
"Vista a la Lejania 1849,  Cerro Del Tesoro, San Pedro Tlaquepaque",2.17,1.96,9.94
"Calle del Bosque 357,  Fraccionamiento Parques del Bosque, San Pedro Tlaquepaque",2.44,1.31,11.1
"Plan de Guadalupe 3742,  Fraccionamiento Residencial Revolucion, San Pedro Tlaquepaque",2.15,1.94,2.28
"mexicaltzingo 2432,  San Pedro Tlaquepaque, Jalisco",2.04,2.52,7.61
"Calle zilatitan 3891,  Parque Tlaquepaque, San Pedro Tlaquepaque",0.83,1.02,2.86
"Padre Xavier Schiffler 715,  Fraccionamiento Parques del Bosque, San Pedro Tlaquepaque",2.35,1.33,11.28
"Doroteo y Ramon Corona #1,  Residencial La Soledad, San Pedro Tlaquepaque",1.4,1.41,2.69
"AV. BAHIA DE TODOS LOS SANTOS 2782,  Parques de Santa Maria, San Pedro Tlaquepaque",2.37,2.96,11.95
"Membrillo 55,  Fraccionamiento Las Huertas, San Pedro Tlaquepaque",2.32,0.14,2.4
"Francisco I. Madero 671,  SantibAnez, San Pedro Tlaquepaque",0.38,0.76,7.83
"RIO TAMESIS 619,  El Vergel, San Pedro Tlaquepaque",2.46,1.04,6.1
"San francisco 2993 valle de la misericordia,  Parques de Santa Cruz Del Valle, San Pedro Tlaquepaque",2.82,2.93,9.48
