direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"paseo vista hermosa #308,  Fraccionamiento Club de Golf Santa Anita, Tlajomulco de Zuniga",2.91,2.16,11.31
"Enrique Limon Diaz 27, Jal., Mexico,  Bosques de Santa Anita, Tlajomulco de Zuniga",2.73,0.54,9.51
"Av. Casa Fuerte 239 int 107,  Casa Fuerte, Tlajomulco de Zuniga",1.15,1.25,7.67
"Blvrd Bosques de Sta Anita 2377 int 170,  Bosque Real de Santa Anita, Tlajomulco de Zuniga",0.73,0.37,11.99
"Avenida Punto Sur 6387,  Los Gavilanes Poniente, Tlajomulco de Zuniga",2.04,1.49,10.11
"Paseo de la colina norte 47, lomas del santa anita, tlajomulco de zuniga,  Lomas de Santa Anita, Tlajomulco de Zuniga",0.2,2.62,5.53
"Paseo de los Laureles 213,  Acueducto San Javier, Tlajomulco de Zuniga",1.06,1.38,12.55
"Boulevard la Loma 1000,  Fraccionamiento Bosque Real, Tlajomulco de Zuniga",0.34,0.2,11.58
"Calle Boulevard Valle del Silicio 130-casa 192 Nueva Galicia,  Fraccionamiento Nueva Galicia Residencial, Tlajomulco de Zuniga",0.78,1.2,11.67
"VALLE DE BANDERAS 185 EL PALOMAR,  El Palomar, Tlajomulco de Zuniga",1.05,0.56,13.07
"Casa en Jesus Aguilar #1047, San Agustin, Tlajomulco de Zuniga,  San Agustin, Tlajomulco de Zuniga",1.44,2.52,9.44
"escobedo 124,  Arcos de la Cruz, Tlajomulco de Zuniga",0.25,0.01,0.14
"17 de mayo no 10,  La Tijera, Tlajomulco de Zuniga",1.73,1.82,11.6
"Av. Vuelo de las grullas #200,  San Agustin, Tlajomulco de Zuniga",2.42,1.33,9.16
"Av. Punto Sur 6387,  Los Gavilanes Poniente, Tlajomulco de Zuniga",2.04,1.49,10.11
"Circuito la Almena #94, El Alcazar (Casa Fuerte), Tlajomulco de Zuniga,  Casa Fuerte, Tlajomulco de Zuniga",1.37,1.08,7.47
"Paseo del Olmo 41,  Fraccionamiento El Manantial, Tlajomulco de Zuniga",2.34,1.21,10.35
"calle Valle de San Nicolas 1443,  Fraccionamiento Real Del Valle, Tlajomulco de Zuniga",0.16,1.67,11.39
"Lopez Mateos Sur #1724, San jose del Tajo,  El Palomar, Tlajomulco de Zuniga",0.26,0.65,12.23
"AV. Casa Fuerte 158,  Fraccionamiento El Alcazar (Casa Fuerte), Tlajomulco de Zuniga",1.23,1.26,7.64
"Valle de San Salvador 1089,  Fraccionamiento Real Del Valle, Tlajomulco de Zuniga",0.22,1.81,11.17
"Av. Fuente Mayor 25,  Fraccionamiento Real Del Valle, Tlajomulco de Zuniga",0.09,1.32,10.89
"Paseo Bosques del Cielo #561,  Cielo Contry Club, Tlajomulco de Zuniga",2.96,2.96,13.27
"Paseo bosque del Cielo #561 El Cielo Country Club,  Tlajomulco de Zuniga, Jalisco",2.91,2.5,13.33
"Enrique Limon Diaz 404,  Campo de Golf Santa Anita Condominio, Tlajomulco de Zuniga",2.84,0.92,9.25
"Pena de Tapalpa 1094,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.14,2.74,11.23
"Avenida Adamar 1266,  Adamar, Tlajomulco de Zuniga",1.53,0.91,7.31
"Cluster 1 97,  Punto Sur, Tlajomulco de Zuniga",1.72,1.96,10.32
"Paseo El Fuerte poniente int 20 condominio El Fuerte poniente,  Casa Fuerte, Tlajomulco de Zuniga",1.37,1.08,7.47
"Camino a las Malvas 51, Cortijo de San Agustin, Tlajomulco de Zuniga, Jalisco,  Fraccionamiento Cortijo de San Agustin, Tlajomulco de Zuniga",1.55,2.47,6.94
"Av La Romana 333 Provenza,  San Agustin, Tlajomulco de Zuniga",2.21,1.23,10.15
"P.o de los Pinos 5,  Los Gavilanes Poniente, Tlajomulco de Zuniga",1.6,2.49,10.69
"C. Las Villas 10, El Palomar, 45643 Palomar, Jal,  Las Villas, Tlajomulco de Zuniga",0.58,0.37,12.59
"Club de golf santa anita 1,  Campo de Golf Santa Anita Condominio, Tlajomulco de Zuniga",0.47,1.05,10.23
"Blvd. la Loma 1000,  La Loma, Tlajomulco de Zuniga",0.34,0.2,11.58
"Mallorca 196,  Fraccionamiento Nueva Galicia Residencial, Tlajomulco de Zuniga",0.59,1.44,11.43
"santa anita  1,  Campo de Golf Santa Anita Condominio, Tlajomulco de Zuniga",2.69,1.45,10.66
"Calle Allende 167,  Los Gavilanes Poniente, Tlajomulco de Zuniga",0.76,1.61,11.26
"Paseo del solar  2992,  Vistas de Monteblanco, Tlajomulco de Zuniga",0.33,1.05,12.79
"BOULEVARD ALTA CALIFORNIA #152,  Alta California Residencial, Tlajomulco de Zuniga",2.55,2.98,5.97
"Calle Blvd. Prol. Mariano Otero 1501 Nueva Galicia la Tijera,  Coto Nueva Galicia, Tlajomulco de Zuniga",0.44,1.26,11.59
"Paseo de la Calera 78,  Jardines de La Calera, Tlajomulco de Zuniga",0.19,2.15,19.78
"Paseo Club de Golf Santa Anita 426,  Fraccionamiento Club de Golf Santa Anita, Tlajomulco de Zuniga",2.91,0.94,10.15
"Avenida Punto Sur 6387,  Punto Sur, Tlajomulco de Zuniga",2.04,1.49,10.11
"vuelo de las grullas 200,  San Agustin, Tlajomulco de Zuniga",2.42,1.33,9.16
"Paseo de la Montana 247,  Lomas de Santa Anita, Tlajomulco de Zuniga",0.5,2.97,6.14
"Pradillos 7000 618,  La Rioja, Tlajomulco de Zuniga",2.12,1.86,11.06
"AV PUNTO SUR 6259,  Punto Sur, Tlajomulco de Zuniga",1.91,2.15,10.11
"Paseo Santa Anita 52,  Tlajomulco de Zuniga, Jalisco",2.65,1.45,10.66
"LEON 24, RINCON DE LOS COPALES, SAN AGUSTIN,  San Agustin, Tlajomulco de Zuniga",0.89,2.61,9.67
"Av Adamar Oriente  45646,  San Agustin, Tlajomulco de Zuniga",1.95,0.49,6.87
"Las Moras 675,  Bosques de Santa Anita, Tlajomulco de Zuniga",0,0.55,11.79
"Boulevard Senderos de Monteverde S.Montanas 18,  Fraccionamiento Senderos de Monte Verde, Tlajomulco de Zuniga",0.26,1.3,6.06
"Paseo de la Frescura  351 El Cielo,  Cielo Contry Club, Tlajomulco de Zuniga",2.52,2.95,12.62
"La Fragua 112,  Colinas de Santa Anita, Tlajomulco de Zuniga",0.48,0.27,5.09
"Av. Paseo del palomar 250,  El Palomar, Tlajomulco de Zuniga",1.49,0.88,13.5
"5 de Mayo #1381, Santa Anita, Tlajomulco de Zuniga,  Santa Anita, Tlajomulco de Zuniga",2.89,1.31,10.5
"Blv Senderos de  Verde 37, casa ,  Fraccionamiento Senderos de Monte Verde, Tlajomulco de Zuniga",0.12,1.17,5.83
"Valle De Los Castanos 248,  Hacienda los Eucaliptos, Tlajomulco de Zuniga",1.32,0.99,2.48
"camino real a colima 445,  La Tijera, Tlajomulco de Zuniga",1.74,2.21,10.81
