url,titulo,precio,direccion,m2_lote,m2_construccion,banos,medio_banos,estacionamientos,recamaras,antiguedad
https://www.vivanuncios.com.mx/a-venta-casa/chapalita/casa-en-venta-en-chapalita/146516604,Casa en Venta en Chapalita,"ventaMN 6,500,000","la merced,  Chapalita, Guadalajara",240²,245²,3,1,1,3,38
https://www.vivanuncios.com.mx/a-venta-casa/atlas/casa-en-venta/146166750,Casa en Venta,"ventaMN 3,700,000","Rio Zapotlanejo 1360,  Atlas, Guadalajara",154²,154²,2,,3,3,
https://www.vivanuncios.com.mx/a-venta-casa/circunvalacion-belisario/casa-en-venta-remodelada-por-la-monumental-guadalajara/147022349,"Casa en Venta Remodelada por La Monumental, Guadalajara.","ventaMN 3,080,000","Calle Puerto Soto La Marina 1784,  Circunvalación Belisario, Guadalajara",75²,110²,2,1,1,2,
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-rincon-del-bosque/casa-en-zona-expo-gdl-de-5-recamaras/142519518,Casa en Zona Expo Gdl de 5 Recamaras,"ventaMN 7,500,000","Rinconada del Bosque,  Fraccionamiento Rincón Del Bosque, Guadalajara",302²,453²,4,1,3,4,45
https://www.vivanuncios.com.mx/a-venta-casa/circunvalacion-belisario/bonita-casa-remodelada-en-col-circunvalacion-belisario/147028387,Bonita Casa Remodelada en Col. Circunvalación Belisario,"ventaMN 3,080,000","Calle Puerto Soto La Marina ,  Circunvalación Belisario, Guadalajara",75²,110²,2,1,1,2,1
https://www.vivanuncios.com.mx/a-venta-casa/guadalajara/casa-en-venta-en-santa-elena-estadio-4/147024472,Casa en Venta en Santa Elena Estadio - (4),"ventaMN 3,370,000","Caceres,  Guadalajara, Jalisco",105²,100²,2,,1,3,45
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-jardines-alcalde/casa-en-venta-cerca-del-parque-amarillo-jardines-alcalde/145615820,Casa en Venta Cerca del Parque Amarillo Jardines Alcalde,"ventaMN 6,100,000","Calle José Ignacio Solórzano 612,  Fraccionamiento Jardines Alcalde, Guadalajara",301²,358²,3,,3,4,
https://www.vivanuncios.com.mx/a-venta-casa/oblatos/casa-en-venta-en-oblatos-guadalajara/146339408,"Casa en Venta en Oblatos, Guadalajara","ventaMN 5,000,000","C. Román Morales ,  Oblatos, Guadalajara",190²,350²,3,1,2,4,20
https://www.vivanuncios.com.mx/a-venta-casa/jardines-del-bosque/se-vende-casa-en-jardines-del-bosque/146638697,Se Vende Casa en Jardines del Bosque,"ventaMN 6,780,000","Tormenta 847,  Jardines del Bosque, Guadalajara",224²,145²,3,1,2,2,27
https://www.vivanuncios.com.mx/a-venta-casa/independencia/casa-en-venta-colonia-independencia-con-recamara-abajo-o-estudio-por-el-estadio/146313975,"Casa en Venta Colonia Independencia con Recámara Abajo o Estudio, por El Estadio","ventaMN 5,000,000","A UNAS CUADRAS DEL ESTADIO Calle Siete Colinas 1772, Colonia Independencia, Guadalajara, Jalisco, México,  Independencia, Guadalajara",161²,179²,2,,2,4,50
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-jardines-de-los-historiadores/casa-en-venta-en-guadalajara-jalisco-jardines-de-los-historiadores/146960861,"Casa en Venta en Guadalajara, Jalisco (Jardines de Los Historiadores)","ventaMN 6,290,000","Calle José Martínez Sotomayor 896,  Fraccionamiento Jardines de los Historiadores, Guadalajara",156²,329²,3,,3,4,7
https://www.vivanuncios.com.mx/a-venta-casa/americana/casa-en-venta-en-la-colonia-americana/147026659,Casa en Venta en La Colonia Americana,"ventaMN 18,900,000","Avenida la Paz 2316,  Americana, Guadalajara",356²,360²,1,5,3,6,5
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-chapultepec-country/casa-en-venta-en-chapultepec-country/146383682,Casa en Venta en Chapultepec Country,"ventaMN 6,650,000","Agustin Melgar ,  Fraccionamiento Chapultepec Country, Guadalajara",158²,298²,2,2,2,3,18
https://www.vivanuncios.com.mx/a-venta-casa/colonia-huentitan-el-alto/casa-en-venta-en-providencia/146021757,Casa en Venta en Providencia,"ventaMN 15,000,000","Antofagasta 2219,  Colonia Huentitán El Alto, Guadalajara",483²,415²,5,,5,5,25
https://www.vivanuncios.com.mx/a-venta-casa/santa-elena-alcalde-poniente/casa-en-santa-elena-alcalde-remodelada-terreno:-1516-m-construccion:-201-m-cv/146960584,Casa en Santa Elena Alcalde Remodelada Terreno: 151.6 m Construccion: 201 m Cv,"ventaMN 5,950,000","Calle Cadiz 2191,  Santa Elena Alcalde Poniente, Guadalajara",151²,201²,3,1,,3,3
https://www.vivanuncios.com.mx/a-venta-casa/americana/casa-de-3-recamaras-junto-a-calle-libertad/146645673,Casa de 3 Recamaras Junto a Calle Libertad,"ventaMN 9,500,000","Argentina 370,  Americana, Guadalajara",151²,251²,2,1,1,3,
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-jardines-de-santa-isabel/casa-en-venta-en-jardines-de-santa-isabel-guadalajara/146711825,"Casa en Venta en Jardines de Santa Isabel, Guadalajara","ventaMN 5,480,000","COMBATE DE LA ANGOSTURA ,  Fraccionamiento Jardines de Santa Isabel, Guadalajara",122²,128²,3,,2,4,
https://www.vivanuncios.com.mx/a-venta-casa/americana/oportunidad-casa-en-venta-col-americana/142698472,Oportunidad! Casa en Venta Col. Americana.,"ventaMN 10,499,000","Mexicaltzingo 1957,  Americana, Guadalajara",327²,448²,3,1,4,8,40
https://www.vivanuncios.com.mx/a-venta-casa/ladron-de-guevara/casa-en-venta-en-av-manuel-acuna/146652559,Casa en Venta en Av Manuel Acuña,"ventaMN 13,500,000","MUCHO ESTACIONAMIENTO ALREDEDOR Av. Manuel Acuña 1870,  Ladrón de Guevara, Guadalajara",324²,300²,2,1,4,,60
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-colomos-providencia/casa-en-venta-en-colomos-providencia-guadalajara-jal/146826536,"Casa en Venta en Colomos Providencia, Guadalajara Jal.","ventaMN 12,750,000","La Guaira  al 2900,  Fraccionamiento Colomos Providencia, Guadalajara",213²,224²,2,1,2,3,
https://www.vivanuncios.com.mx/a-venta-casa/monumental/casa-en-venta-colonia-monumental-guadalajara/145611002,Casa en Venta Colonia Monumental Guadalajara,"ventaMN 5,545,000","PIRINEOS,  Monumental, Guadalajara",160²,213²,3,,1,5,1
https://www.vivanuncios.com.mx/a-venta-casa/colinas-de-la-normal/casa-en-venta-en-colinas-de-la-normal/146456301,Casa en Venta en Colinas de La Normal,"ventaMN 7,900,000","Luis Cabrera ,  Colinas de La Normal, Guadalajara",180²,250²,4,1,2,3,1
https://www.vivanuncios.com.mx/a-venta-casa/chapalita/propiedad-excelente-ubicacion-en-chapalita/143146503,Propiedad Excelente Ubicación en Chapalita,"ventaMN 11,250,000","Capuchinas 2961, Col. Chapalita, Guadalajara, Jalisco,  Chapalita, Guadalajara",384²,239²,2,1,2,3,45
https://www.vivanuncios.com.mx/a-venta-casa/colonia-huentitan-el-bajo/casa-en-venta-calzada-independencia/143234593,Casa en Venta Calzada Independencia,"ventaMN 9,500,000","Volcán Babuyan,  Colonia Huentitán El Bajo, Guadalajara",671²,364²,5,,8,5,50
https://www.vivanuncios.com.mx/a-venta-casa/vallarta-poniente/propiedad-en-venta-zona-glorieta-minerva/145581556,"Propiedad en Venta, Zona Glorieta Minerva*","ventaMN 11,495,000","Tepatitlán,  Vallarta Poniente, Guadalajara",420²,429²,3,,5,4,7
https://www.vivanuncios.com.mx/a-venta-casa/8-de-julio/uso-multiple-gobernador-curiel-y-lazaro-cardenas/146149130,"Uso Múltiple, Gobernador Curiel y Lázaro Cárdenas","ventaMN 5,500,000","ZENZONTLE 789,  8 de Julio , Guadalajara",226²,353²,5,,1,10,50
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-lomas-del-country/casa-en-venta-mar-negro/144829719,Casa en Venta Mar Negro,"ventaMN 13,000,000","Mar Negro 1416,  Fraccionamiento Lomas Del Country, Guadalajara",521²,349²,4,1,2,4,55
