url,titulo,precio,direccion,m2_lote,banos,estacionamientos,recamaras,municipio,jardin
https://www.vivanuncios.com.mx/a-venta-casa/barrio-santa-teresita/casa-en-venta-en-colonia-santa-tere-guadalajara-jalisco/145586187,"Casa en Venta en Colonia Santa Tere Guadalajara, Jalisco",7350000,"Joaquin Angulo 982,  Barrio Santa Teresita, Guadalajara",220,3.0,1.0,3.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/providencia/casa-en-colomos-providencia/147019564,Casa en Colomos Providencia,13500000,"Antofagasta 2248,  Providencia, Guadalajara",415,5.0,5.0,5.0,guadalajara,True
https://www.vivanuncios.com.mx/a-venta-casa/americana/casa-en-venta-colonia-americana/146524282,Casa en Venta Colonia Americana,11500000,"GENERAL SAN MARTIN 1,  Americana, Guadalajara",315,2.0,2.0,3.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-rinconada-santa-rita/casa-en-venta-en-rinconada-santa-rita/146885310,Casa en Venta en Rinconada Santa Rita,20800000,"Manuel Acuna 3540,  Fraccionamiento Rinconada Santa Rita, Guadalajara",500,4.0,6.0,5.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/independencia/residencia-en-venta-en-monte-tabor-guadalajara/147010752,"Residencia en Venta en Monte Tabor, Guadalajara",9900000,"Monte Tabor 198,  Independencia, Guadalajara",252,3.0,3.0,4.0,guadalajara,True
https://www.vivanuncios.com.mx/a-venta-casa/la-loma/oportunidad-unica-de-casa-en-la-loma/144940328,Oportunidad Unica de Casa en La Loma,5000000,"Calzada Revolucion 1634,  La Loma, Guadalajara",224,3.0,3.0,4.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/san-antonio/casa-en-venta-calle-medrano/142430309,"Casa en Venta, Calle Medrano",3600000,"Medrano 2235,  San Antonio, Guadalajara",213,3.0,1.0,6.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/providencia/casa-en-venta-en-providencia/145343597,Casa en Venta en Providencia,8490000,"Rio de Janeiro 2085,  Providencia, Guadalajara",180,3.0,1.0,5.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/ladron-de-guevara/casa-en-venta-en-col-ladron-de-guevara/145508269,Casa en Venta en Col. Ladrón de Guevara,8200000,"Fray Luis de Palacio 443. Col. Ladron de Guevara. Guadalajara Jal.,  Ladron de Guevara, Guadalajara",94,3.0,1.0,3.0,guadalajara,False
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-italia-providencia/casa-en-venta-en-col-providencia/145040323,Casa en Venta en Col. Providencia,13490000,"C. Agustin de la Rosa 774 Col. Italia Providencia, 44656 Guadalajara, Jal.,  Fraccionamiento Italia Providencia, Guadalajara",495,4.0,2.0,4.0,guadalajara,False
